"MpNo","DT","MpNo_m","CO2in_G","CO2out_G","H2Oin_G","H2Oout_G","ATP","Tref","Tcuv","FlowOut","FlowIn","PAR","H2O_P","mH2O_P","dDH_out","d18O_out","dDH_in","d18O_in","ShootID","Area","hour","day","month","TrA","dDH_ex","dH2O","dDH_ex_a","d2H_b","d18O_b","d2H_a","d18O_a","d2H_b_tree","d18O_b_tree","d2H_a_tree","d18O_a_tree","d2H_b_camp","d18O_b_camp","d2H_a_camp","d18O_a_camp","diam_cm","length_cm","sd_d18O_camp","d18_up_lim","d18_lw_lim","Date","DOY","timeDec","midday"
1,2018-09-05 08:50:00,"1S",396.3,353.7,11.8,12.51,1006,13.9,14.1,547.512027417748,553.61935832105,109,15948.376492891,15.948376492891,-123.07827594874,-16.028354650836,-133.781835522111,-16.393799040566,101,2211.444,8,5,9,0.17473220641083,5.148561257948,134.450043758323,-2.631443197583,-80.89564838,-9.796398483,575.0681825,-8.843979945,-74.6,-9.5,317.2,-9.5,-73.2,-8.9,124.7,-9.2,0.7,10.48,0.6667443,-7.510491345,-11.12988708,2018-09-05,248,8.83333333333333,"no"
1,2018-09-05 11:50:00,"1S",382.9,349.4,8.8,13.63,1006,18,18.1,547.512027417748,549.691753399344,355,17638.793971564,17.638793971564,-85.2518054794813,-16.3027658207947,-104.404425421417,-16.7020458776372,101,2211.444,11,5,9,1.18867477304768,45.1703210868763,74.2456294693446,29.2119415996806,-80.89564838,-9.796398483,575.0681825,-8.843979945,-74.6,-9.5,317.2,-9.5,-73.2,-8.9,124.7,-9.2,0.7,10.48,0.6667443,-7.510491345,-11.12988708,2018-09-05,248,11.8333333333333,"yes"
1,2018-09-05 12:27:00,"1S",383,345.2,9.14,14.08,1006,18.6,18.7,547.512027417748,549.818821265584,170,18125.0265829384,18.1250265829384,-65.9976787359882,-15.6542319149504,-105.663841146766,-16.4780842582243,101,2211.444,12,5,9,1.21574562781363,59.236176583615,120.432257776797,26.1608329190284,-80.89564838,-9.796398483,575.0681825,-8.843979945,-74.6,-9.5,317.2,-9.5,-73.2,-8.9,124.7,-9.2,0.7,10.48,0.6667443,-7.510491345,-11.12988708,2018-09-05,248,12.45,"no"
1,2018-09-05 13:09:00,"1S",381,316.2,9.1,15.01,1006,19.1,19.3,547.512027417748,549.264021968317,470,19452.7843364929,19.4527843364929,-47.7292674746316,-15.8635642523209,-112.570457268939,-17.3649663837234,101,2211.444,13,5,9,1.45446496918693,79.1792465439356,160.524889853935,26.3492738008482,-80.89564838,-9.796398483,575.0681825,-8.843979945,-74.6,-9.5,317.2,-9.5,-73.2,-8.9,124.7,-9.2,0.7,10.48,0.6667443,-7.510491345,-11.12988708,2018-09-05,248,13.15,"yes"
1,2018-09-05 13:47:00,"1S",381.5,313,9.3,15.35,1006,19.6,19.8,547.512027417748,549.297333015327,1452,19375.9062701422,19.3759062701422,-51.1267782088048,-15.8242210493809,-102.457031868329,-16.6822330531418,101,2211.444,13,5,9,1.48891900231173,75.4669901862424,143.819926707526,31.0008325568054,-80.89564838,-9.796398483,575.0681825,-8.843979945,-74.6,-9.5,317.2,-9.5,-73.2,-8.9,124.7,-9.2,0.7,10.48,0.6667443,-7.510491345,-11.12988708,2018-09-05,248,13.7833333333333,"yes"
1,2018-09-05 14:24:00,"1S",381.4,306.2,9.3,14.93,1005,19.3,19.4,547.512027417748,549.53007415936,1352,19496.690647619,19.496690647619,-43.8521240482533,-16.5176874684484,-102.384326407694,-17.1777856796637,101,2211.444,14,5,9,1.38693469296709,88.2893756993339,176.253527569384,35.0379590296156,-80.89564838,-9.796398483,575.0681825,-8.843979945,-74.6,-9.5,317.2,-9.5,-73.2,-8.9,124.7,-9.2,0.7,10.48,0.6667443,-7.510491345,-11.12988708,2018-09-05,248,14.4,"yes"
1,2018-09-05 15:01:00,"1S",382.6,343.4,9.58,16.72,1005,19.5,19.6,547.512027417748,548.85410347298,221,20750.4768293839,20.7504768293839,-33.087173875482,-14.3252896315576,-98.1267634654923,-16.6541257856144,101,2211.444,15,5,9,1.75891846092351,81.5151431769788,143.783667746361,35.1062428194229,-80.89564838,-9.796398483,575.0681825,-8.843979945,-74.6,-9.5,317.2,-9.5,-73.2,-8.9,124.7,-9.2,0.7,10.48,0.6667443,-7.510491345,-11.12988708,2018-09-05,248,15.0166666666667,"no"
1,2018-09-05 16:10:00,"1S",381.8,314.3,9.89,14.1,1005,19.2,19.3,547.512027417748,550.637177718451,985,19226.5414407583,19.2265414407583,-55.977703899608,-16.4902640687329,-81.4347867806277,-15.0645673526077,101,2211.444,16,5,9,1.03712106791338,75.9444086502552,162.541005769759,39.0817520402339,-80.89564838,-9.796398483,575.0681825,-8.843979945,-74.6,-9.5,317.2,-9.5,-73.2,-8.9,124.7,-9.2,0.7,10.48,0.6667443,-7.510491345,-11.12988708,2018-09-05,248,16.1666666666667,"no"
1,2018-09-05 16:47:00,"1S",382.2,348.7,10.4,17,1005,18.6,18.7,547.512027417748,549.60386906684,156,21741.6137109005,21.7416137109005,-7.49241038715569,-13.9501560180833,-77.7407692969146,-13.5253582859918,101,2211.444,16,5,9,1.62588968105564,104.108837757511,220.158247450163,30.4620969910198,-80.89564838,-9.796398483,575.0681825,-8.843979945,-74.6,-9.5,317.2,-9.5,-73.2,-8.9,124.7,-9.2,0.7,10.48,0.6667443,-7.510491345,-11.12988708,2018-09-05,248,16.7833333333333,"no"
1,2018-09-05 17:24:00,"1S",381.5,345.9,10,14.09,1005,17.7,17.8,540.668127075026,543.879532734335,369,18021.5061374408,18.0215061374408,-0.327141558181908,-13.7033693737332,-82.9640789029524,-15.29859018074,101,2211.444,17,5,9,0.994964820046514,109.299813431684,280.143752034902,39.4246425429676,-80.89564838,-9.796398483,575.0681825,-8.843979945,-74.6,-9.5,317.2,-9.5,-73.2,-8.9,124.7,-9.2,0.7,10.48,0.6667443,-7.510491345,-11.12988708,2018-09-05,248,17.4,"no"
1,2018-09-05 18:01:00,"1S",381.7,360.1,10,13.13,1005,17.5,17.6,540.668127075026,544.401182384579,95,16885.9019099526,16.8859019099526,-11.2468175801285,-15.452380739925,-86.9077817968153,-15.4808368425925,101,2211.444,18,5,9,0.761427845170071,112.372228339271,353.373235992137,36.9389129439247,-80.89564838,-9.796398483,575.0681825,-8.843979945,-74.6,-9.5,317.2,-9.5,-73.2,-8.9,124.7,-9.2,0.7,10.48,0.6667443,-7.510491345,-11.12988708,2018-09-05,248,18.0166666666667,"no"
1,2018-09-05 19:10:00,"1S",382.2,372.62,10.4,11.84,1006,15,15.1,540.668127075026,545.533922995669,44,15212.7997345972,15.2127997345972,-59.1810739476389,-16.2171900736144,-86.3384745594794,-16.1023175654769,101,2211.444,19,5,9,0.349957106165044,70.5564466412763,273.330307085847,42.4800659643358,-80.89564838,-9.796398483,575.0681825,-8.843979945,-74.6,-9.5,317.2,-9.5,-73.2,-8.9,124.7,-9.2,0.7,10.48,0.6667443,-7.510491345,-11.12988708,2018-09-05,248,19.1666666666667,"no"
1,2018-09-05 19:47:00,"1S",387.7,383.35,10.7,11.15,1006,12.6,12.5,540.668127075026,546.236145062084,18,13943.4237251185,13.9434237251185,-57.3947939746518,-15.4637505144851,-95.3434903405318,-14.6501351467926,101,2211.444,19,5,9,0.109361562867757,66.315210141229,1123.4186025621,21.857590833809,-80.89564838,-9.796398483,575.0681825,-8.843979945,-74.6,-9.5,317.2,-9.5,-73.2,-8.9,124.7,-9.2,0.7,10.48,0.6667443,-7.510491345,-11.12988708,2018-09-05,248,19.7833333333333,"no"
