"NOMBRE","year","Pyear","Pndays"
"SANTA CRUZ DE YANGUAS",1966,NA,231
"SANTA CRUZ DE YANGUAS",1967,587.8,334
"SANTA CRUZ DE YANGUAS",1968,451.7,335
"SANTA CRUZ DE YANGUAS",1969,833.2,365
"SANTA CRUZ DE YANGUAS",1970,582.9,365
"SANTA CRUZ DE YANGUAS",1971,702.2,365
"SANTA CRUZ DE YANGUAS",1972,1035.6,366
"SANTA CRUZ DE YANGUAS",1973,693.8,365
"SANTA CRUZ DE YANGUAS",1974,843.3,365
"SANTA CRUZ DE YANGUAS",1975,860,365
"SANTA CRUZ DE YANGUAS",1976,861,366
"SANTA CRUZ DE YANGUAS",1977,854.4,365
"SANTA CRUZ DE YANGUAS",1978,905.9,365
"SANTA CRUZ DE YANGUAS",1979,1228.1,365
"SANTA CRUZ DE YANGUAS",1980,859.9,366
"SANTA CRUZ DE YANGUAS",1981,698.1,365
"SANTA CRUZ DE YANGUAS",1982,833.5,365
"SANTA CRUZ DE YANGUAS",1983,583.2,365
"SANTA CRUZ DE YANGUAS",1984,916.3,366
"SANTA CRUZ DE YANGUAS",1985,525.8,365
"SANTA CRUZ DE YANGUAS",1986,618.8,365
"SANTA CRUZ DE YANGUAS",1987,870.3,365
"SANTA CRUZ DE YANGUAS",1988,930.4,366
"SANTA CRUZ DE YANGUAS",1989,652.5,365
"SANTA CRUZ DE YANGUAS",1990,679.8,365
"SANTA CRUZ DE YANGUAS",1991,738.9,365
"SANTA CRUZ DE YANGUAS",1992,762.9,366
"SANTA CRUZ DE YANGUAS",1993,710.6,365
"SANTA CRUZ DE YANGUAS",1994,613.4,365
"SANTA CRUZ DE YANGUAS",1995,761.2,365
"SANTA CRUZ DE YANGUAS",1996,883.1,366
"SANTA CRUZ DE YANGUAS",1997,1017.1,365
"SANTA CRUZ DE YANGUAS",1998,682.5,365
"SANTA CRUZ DE YANGUAS",1999,857.1,365
"SANTA CRUZ DE YANGUAS",2000,645.2,366
"SANTA CRUZ DE YANGUAS",2001,614.3,365
"SANTA CRUZ DE YANGUAS",2002,843.4,365
"SANTA CRUZ DE YANGUAS",2003,982.7,365
"SANTA CRUZ DE YANGUAS",2004,820.2,366
"SANTA CRUZ DE YANGUAS",2005,579.4,365
"SANTA CRUZ DE YANGUAS",2006,664,365
"SANTA CRUZ DE YANGUAS",2007,735.1,365
"SANTA CRUZ DE YANGUAS",2008,1004,366
"SANTA CRUZ DE YANGUAS",2009,619.3,334
"SANTA CRUZ DE YANGUAS",2010,835,365
"SANTA CRUZ DE YANGUAS",2011,788.7,365
"SANTA CRUZ DE YANGUAS",2012,582.3,366
"SANTA CRUZ DE YANGUAS",2013,933.9,365
"SANTA CRUZ DE YANGUAS",2014,912.3,365
"SANTA CRUZ DE YANGUAS",2015,796.2,365
"SANTA CRUZ DE YANGUAS",2016,822.7,366
"SANTA CRUZ DE YANGUAS",2017,686.6,365
"SANTA CRUZ DE YANGUAS",2018,NA,59
"SANTA CRUZ DE YANGUAS",2019,NA,31
